                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8166,                  2.361,                 1.6626,                0.58575,                0.48242,                0.49224,                0.19359,                 1.9555,                   2.35,                 1.8367,             0.00066445,             0.00066445,             0.00066445
                      2,                 1.8624,                 1.8066,                 1.6865,                0.58583,                0.48824,                0.54341,                0.23817,                 1.8912,                 1.8943,                 1.6911,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.8349,                 1.6907,                 1.6551,                0.65943,                    0.6,                0.65145,                0.31806,                 1.8294,                 1.4859,                 1.6871,              0.0019582,              0.0019582,              0.0019582
                      4,                 1.8124,                 1.5746,                 1.6426,                0.70595,                 0.6549,                0.68149,                0.31914,                 1.7977,                 1.4105,                 1.6254,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7902,                 1.5085,                  1.617,                0.61494,                 0.5598,                0.57031,                 0.2561,                  1.836,                 1.7862,                 1.6515,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7446,                 1.4195,                 1.5815,                0.76534,                0.68137,                0.75187,                0.37887,                  1.716,                 1.2408,                 1.6044,               0.001901,               0.001901,               0.001901
                      7,                 1.7238,                  1.374,                 1.5792,                0.77682,                0.69608,                0.77115,                0.40785,                 1.6661,                 1.1847,                 1.5357,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6823,                 1.3139,                 1.5365,                0.80843,                0.68263,                0.76435,                0.41265,                 1.6096,                 1.1623,                 1.5095,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6589,                 1.2779,                 1.5242,                0.73491,                0.63333,                0.72233,                0.37491,                 1.6489,                 1.3118,                 1.5167,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6414,                 1.2407,                  1.505,                0.82665,                0.73725,                0.82056,                0.44467,                 1.5889,                 1.0363,                 1.4672,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6225,                 1.2078,                 1.4932,                0.77506,                0.74118,                0.79545,                0.40844,                 1.6344,                 1.1694,                  1.492,               0.001802,               0.001802,               0.001802
                     12,                 1.6149,                 1.1865,                 1.4845,                0.77589,                0.74608,                0.79235,                0.42376,                 1.6161,                 1.1008,                  1.488,              0.0017822,              0.0017822,              0.0017822
